name,entry_id,icsd_id,composition_generic,unit_cell
Ne,4698,24787,A,"[[2.2145, -2.2145, 0.0], [-2.2145, 0.0, -2.2145], [2.2145, 2.2145, 0.0]]"
La,8130,43568,A,"[[2.113933, 2.113933, 2.113933], [2.113933, -2.113933, -2.113933], [-2.113933, 2.113933, -2.113933]]"
Pr,8132,43570,A,"[[2.077907, 2.077907, 2.077907], [2.077907, -2.077907, -2.077907], [-2.077907, 2.077907, -2.077907]]"
Kr,8203,43726,A,"[[2.776996, -2.776996, 0.0], [-2.776996, 0.0, -2.776996], [2.776996, 2.776996, 0.0]]"
V,7503,41504,A,"[[1.890584, -1.890584, 0.0], [-1.890584, 0.0, -1.890584], [1.890584, 1.890584, 0.0]]"
Rb,8533,44755,A,"[[2.818906, 2.818906, 2.818906], [2.818906, -2.818906, -2.818906], [-2.818906, 2.818906, -2.818906]]"
Ta,7517,41520,A,"[[2.11, -2.11, 0.0], [-2.11, 0.0, -2.11], [2.11, 2.11, 0.0]]"
V,8082,43420,A,"[[1.487624, 1.487624, -1.487624], [1.487624, -1.487624, 1.487624], [-1.487624, -1.487624, -1.487624]]"
Ne,8086,43427,A,"[[2.2311, -2.2311, 0.0], [-2.2311, 0.0, -2.2311], [2.2311, 2.2311, 0.0]]"
Al,8100,43492,A,"[[2.019908, -2.019908, 0.0], [-2.019908, 0.0, -2.019908], [2.019908, 2.019908, 0.0]]"
Ne,12054,65884,A,"[[1.779066, -1.779066, 0.0], [-1.779066, 0.0, -1.779066], [1.779066, 1.779066, 0.0]]"
K,8500,44670,A,"[[2.619236, 2.619236, 2.619236], [2.619236, -2.619236, -2.619236], [-2.619236, 2.619236, -2.619236]]"
Rh,7514,41516,A,"[[1.91227, -1.91227, 0.0], [-1.91227, 0.0, -1.91227], [1.91227, 1.91227, 0.0]]"
Er,9566,53388,A,"[[1.972769, 1.972769, 1.972769], [1.972769, -1.972769, -1.972769], [-1.972769, 1.972769, -1.972769]]"
Zr,9320,52544,A,"[[1.786475, 1.786475, 1.786475], [1.786475, -1.786475, -1.786475], [-1.786475, 1.786475, -1.786475]]"
Ho,10106,56227,A,"[[1.98, 1.98, -1.98], [-1.98, -1.98, -1.98], [-1.98, 1.98, 1.98]]"
Lu,8586,44910,A,"[[1.944943, 1.944943, -1.944943], [1.944943, -1.944943, 1.944943], [-1.944943, -1.944943, -1.944943]]"
Tb,17350,104193,A,"[[2.000961, 2.000961, 2.000961], [2.000961, -2.000961, -2.000961], [-2.000961, 2.000961, -2.000961]]"
Ne,12055,65885,A,"[[1.722732, -1.722732, 0.0], [-1.722732, 0.0, -1.722732], [1.722732, 1.722732, 0.0]]"
